symbol,adt,days_count
SUMICHEM,305421217.97004044,247
ALOKINDS,303864285.6394736,247
MAHSEAMLES,302839926.3242915,247
JKTYRE,297106499.0103239,247
ZFCVINDIA,297064551.7933198,247
SCHAEFFLER,288837367.31113356,247
MINDACORP,285609159.13663965,247
JYOTHYLAB,285504944.37834007,247
BATAINDIA,279975047.3953441,247
METROPOLIS,275640542.98785424,247
RHIM,275392915.19129556,247
APLLTD,271459045.4870445,247
CAMPUS,268880850.2453037,247
MAPMYINDIA,267843272.88319835,247
BBTC,259797081.83421054,247
PTCIL,254736757.76902834,247
GPPL,254006971.38141698,247
PFIZER,253200638.1874494,247
ASAHIINDIA,252395569.1331984,247
EIHOTEL,247300537.2765182,247
HONAUT,245681841.31761134,247
GODREJAGRO,243309975.3777328,247
BASF,242881338.45809716,247
TBOTEK,241348948.62024292,247
SUNTV,241166284.64433202,247
BAYERCROP,239450944.14655873,247
MANYAVAR,239443064.5649798,247
SKFINDIA,232156104.04230767,247
INOXINDIA,219699884.52125505,247
SAPPHIRE,215989602.1799595,247
BLUEDART,210395310.58724695,247
AIAENG,207097332.87044534,247
DCMSHRIRAM,198763592.60060728,247
AKUMS,196633725.5951417,247
NSLNISP,196219723.31744942,247
VTL,196189378.75161943,247
ROUTE,194475882.71558705,247
EMCURE,193236511.75526315,247
CARBORUNIV,193189154.28319836,247
ALKYLAMINE,192232109.59939268,247
CENTURYPLY,188870580.7388664,247
LATENTVIEW,186390106.137247,247
CERA,183558368.7451417,247
3MINDIA,173126533.21113357,247
ALIVUS,161980684.9305668,247
VGUARD,145160094.15445346,247
JSWHL,140559428.58582994,247
WESTLIFE,135616435.16012144,247
SUNDRMFAST,132223887.02327935,247
KANSAINER,102777870.63032389,247
