symbol,adt,days_count,bars_count
SBIN,4541728319.597278,753,56241
RELIANCE,4455109202.424568,753,56241
AXISBANK,4278082753.1005316,753,56242
ICICIBANK,4260753800.3647413,753,56242
INFY,4150414609.7903323,753,56242
TATAMOTORS,3347265673.143626,753,56240
YESBANK,3317876503.2152724,753,56239
SUNPHARMA,3142540253.4300137,753,56241
MARUTI,3097062605.318393,753,56241
TCS,2821993756.5857105,753,56241
ITC,2778648205.0329347,753,56242
LT,2690381023.9322443,753,56241
TATASTEEL,2134801178.431607,753,56240
LUPIN,2036851866.618526,753,56241
BHARTIARTL,1813575750.0033865,753,56241
VEDL,1696048354.050664,753,56240
AUROPHARMA,1643848034.23085,753,56242
PNB,1584945307.768207,753,56241
HINDALCO,1534833017.365538,753,56242
KOTAKBANK,1446234134.6121647,753,56240
SAMMAANCAP,1445157781.1822047,753,56242
DLF,1443172290.1119523,753,56242
WOCKPHARMA,1427257931.1213813,753,56241
M&M,1426181728.7023375,753,56241
BPCL,1413433204.097875,753,56242
INDUSINDBK,1404295698.9464142,753,56242
BANKBARODA,1399599569.914369,753,56242
DRREDDY,1383690408.9907038,753,56242
DMART,1345931752.5659482,232,17293
COALINDIA,1258386370.1215138,753,56242
HINDPETRO,1233629474.7905712,753,56242
HINDUNILVR,1219692956.279814,753,56241
HEROMOTOCO,1213533529.3185923,753,56242
JINDALSTEL,1197568971.6628153,753,56241
ADANIPORTS,1194373431.7035193,753,56242
ONGC,1160499054.746547,753,56241
IDEA,1134995246.9484727,753,56242
TECHM,1131295221.3532536,753,56240
JUSTDIAL,1073212156.4230412,753,56240
ASHOKLEY,1070333696.4199202,753,56242
LICHSGFIN,1070258666.3464144,753,56241
HDFCBANK,1058230123.5646746,753,56241
INDUSTOWER,1057726724.7937583,753,56242
IOC,1031861489.9518725,753,56241
BAJFINANCE,1011120889.2297477,753,56242
ASIANPAINT,1006460602.3989375,753,56242
CDSL,980230977.885366,164,12193
UNITDSPR,979165670.7448208,753,56240
ZEEL,962468403.3379815,753,56241
ULTRACEMCO,933995563.6038512,753,56241
