symbol,adt,days_count
PWR,59014632.17761319,1259
AWK,58686473.76718824,1259
UNM,57519492.84359809,1259
SCG,56767922.19347101,1259
NDAQ,56699453.89142971,1259
RMD,56498838.1329309,1259
TSS,56436421.12347101,1259
INFO,55550382.33639585,917
IRM,55341909.26819301,1259
LKQ,55237868.52885147,1259
FRT,54875647.78760922,1259
DRE,54509485.805194594,1259
PNW,54326464.83271644,1259
CTAS,53857392.57029785,1259
PBCT,52884919.8278587,1259
UDR,52863195.653200954,1259
DISCK,52502620.03853852,1259
JEC,52194826.76438443,1259
CBOE,51915527.22516442,1259
MAA,51354138.101517074,1259
NWSA,51138636.02995808,1169
ARE,50219827.655528195,1259
IFF,50025577.15755361,1259
RHI,48564266.3227085,1259
XYL,48227583.94644162,1259
AVY,48018866.608617954,1259
NAVI,46942523.33120625,960
HII,46470277.408888005,1259
ALLE,46304730.15158043,1063
BF.B,45929918.13378078,1259
RJF,45773340.030762516,1259
L,45344297.31282566,1259
AJG,45094844.99510723,1259
AIV,44764825.00657665,1259
REG,44630134.248061955,1259
AOS,44105383.62897538,1259
SNPS,43687885.10179961,1259
ANSS,41983486.26473868,1259
LNT,41285957.65366164,1259
PDCO,41251751.701068304,1259
LEG,40973277.33405878,1259
IT,40916441.68335981,1259
AIZ,39436130.265972994,1259
LUK,38915308.503717236,1259
PKI,37915822.2775695,1259
CSRA,36006462.47381462,561
TMK,35626498.12146592,1259
CINF,35256438.14963463,1259
FLIR,31029110.775517076,1259
NWS,14911638.734854575,1169
