symbol,adt,days_count
AAPL,5260967711.767381,1259
FB,2734459331.609384,1259
AMZN,2192183345.091623,1259
MSFT,1623276290.6236088,1259
BAC,1606710456.3477204,1259
GOOGL,1550017277.7912726,1259
GOOG,1281383391.2647543,975
NFLX,1257411002.4826257,1259
GE,1094469445.7090096,1259
JPM,1093375548.7160525,1259
C,1081953796.9547896,1259
XOM,1079070754.257089,1259
GILD,934389759.0961592,1259
WFC,925309062.4386576,1259
INTC,914876139.8864121,1259
T,913341127.9857115,1259
PFE,894631196.6868824,1259
JNJ,799659926.5171168,1259
PCLN,795869589.0962764,1259
NVDA,793886372.9819818,1259
VZ,783389808.2256838,1259
CSCO,766069513.1655872,1259
CVX,755088305.2708507,1259
PG,744507461.0123788,1259
IBM,723607744.3719857,1259
CMCSA,715551394.4820858,1259
DIS,712858087.8683797,1259
QCOM,701485666.3432302,1259
MU,692125553.4257174,1259
V,679204667.158046,1259
AGN,668175973.4801668,1259
ORCL,632689458.1746889,1257
MRK,625915480.5896187,1259
HD,616430456.2252661,1259
BA,614673830.4651469,1259
WMT,609523739.479444,1259
GS,606176307.0933042,1259
SLB,588654454.6806434,1259
KO,574967366.1128594,1259
MCD,569288426.8661398,1259
DWDP,569202714.5490825,109
CELG,526872529.6602946,1259
GM,522725081.611112,1259
BRK.B,508368971.636529,1259
AMGN,500791820.8386275,1259
CAT,489817231.0307784,1259
BIIB,489194768.7050981,1259
HAL,487012375.31642574,1259
F,480073859.7281533,1259
ABBV,477259817.59984905,1259
