symbol,adt,days_count
HDFCBANK,23070836011.668015,247
RELIANCE,17388731577.085423,247
BSE,16007804045.918217,247
ICICIBANK,14706665267.55587,247
ETERNAL,14405948630.411457,247
BHARTIARTL,11536908383.842306,247
INFY,11430864843.298786,247
TATAMOTORS,10022689760.334616,247
MAZDOCK,9903112054.579554,247
SBIN,9486673727.884817,247
TCS,9088948981.75263,247
AXISBANK,8864947605.162348,247
BAJFINANCE,8795448490.408905,247
M&M,8750947048.965588,247
KOTAKBANK,7931045872.337854,247
HAL,7783767070.250607,247
WAAREEENER,7354662517.701715,204
DIXON,7290904582.748786,247
BEL,7109991208.714899,247
LT,7029036409.352226,247
TRENT,6758028912.968017,247
PAYTM,6720833118.860729,247
ITC,6656706884.168422,247
INDUSINDBK,6478820287.701417,247
SWIGGY,6325698457.666408,192
CDSL,6310007052.045141,247
INDIGO,5559780275.717409,247
JIOFIN,5550227147.06587,247
KALYANKJIL,5227172145.502025,247
MARUTI,5213364874.147166,247
TATASTEEL,4965716977.294736,247
NTPC,4950733879.637449,247
HCLTECH,4932023534.197977,247
IDEA,4554480854.709312,247
SUZLON,4386955165.171619,247
HINDUNILVR,4295686611.608705,247
VMM,4288834520.451775,169
COFORGE,4205523678.246558,247
VEDL,4182150697.3263164,247
GRSE,4148845660.4024286,247
BAJAJ-AUTO,4147170992.7186236,247
SHRIRAMFIN,4059974037.9722667,247
ANGELONE,4044314197.741904,247
OLAELEC,3991886776.918097,247
POWERGRID,3935584512.423482,247
ADANIENT,3932838771.954251,247
COCHINSHIP,3922980707.6639676,247
AMBER,3916260761.997571,247
VBL,3848114698.2414985,247
ADANIPORTS,3825960192.361336,247
